,DOY,TA,FH2O,H2O,SM1,SM2,SM3,SM4,SM5,SM6,ST1,ST2,ST3,ST4,ST5,ST6,FN2O
0,163.007,14.62,0.0575333,13.0987,16.4,30.7,41.3,42.1,39.3,33,17.7,17.2,16.8,16.1,15.6,14.9,1.91718
1,163.028,14.4,0.0107712,12.6215,15.75,30.7,41.75,42.3,40.1,33,17.6,17.15,16.8,16.1,15.6,14.9,1.72911
2,163.049,13.54,0.00957294,12.2548,15.1,30.7,42.2,42.5,40.9,33,17.5,17.1,16.8,16.1,15.6,14.9,1.73621
3,163.07,11.96,0.00957294,11.5162,14.8,30.25,42.4,44.05,41.25,33.05,17.4,17.1,16.8,16.1,15.6,14.9,1.88733
4,163.09,12.09,0.00172177,11.5627,14.5,29.8,42.6,45.6,41.6,33.1,17.3,17.1,16.8,16.1,15.6,14.9,1.76948
5,163.111,11.36,0.0159786,10.6656,14.45,29.95,42.35,45.55,42.15,33.1,17.15,17.05,16.8,16.1,15.6,14.9,1.63294
6,163.132,9.67,0.0159786,10.0838,14.4,30.1,42.1,45.5,42.7,33.1,17,17,16.8,16.1,15.6,14.9,2.19401
7,163.153,8.28,0.0159786,9.18462,14.25,30.25,42.45,45.65,42.2,33.25,16.8,17,16.8,16.1,15.6,14.95,2.01873
8,163.174,8.51,0.0159786,8.97321,14.1,30.4,42.8,45.8,41.7,33.4,16.6,17,16.8,16.1,15.6,15,2.12872
9,163.195,8.57,0.0159786,8.67714,14.25,31.05,42.5,43.95,41.4,33.65,16.45,16.95,16.8,16.1,15.6,15,2.13288
10,163.215,9.11,0.0159786,8.80686,14.4,31.7,42.2,42.1,41.1,33.9,16.3,16.9,16.8,16.1,15.6,15,1.78812
11,163.236,8.81,0.00337829,9.18807,14.05,31.4,42.75,42.15,40.9,33.9,16.3,16.85,16.75,16.1,15.6,15,1.96567
12,163.257,12.32,0.0146088,11.2816,13.7,31.1,43.3,42.2,40.7,33.9,16.3,16.8,16.7,16.1,15.6,15,1.59577
13,163.278,15.15,0.0283403,13.2677,13.35,30.4,43.65,42.7,40.8,34.05,16.45,16.75,16.7,16.1,15.65,15,1.58683
14,163.299,17.05,0.0234719,15.0883,13,29.7,44,43.2,40.9,34.2,16.6,16.7,16.7,16.1,15.7,15,1.50082
15,163.32,18.41,0.0167311,15.5256,12.95,29.8,43.7,43.3,40.75,33.8,16.85,16.65,16.65,16.1,15.7,15,1.3788
16,163.34,19.45,0.107992,16.7801,12.9,29.9,43.4,43.4,40.6,33.4,17.1,16.6,16.6,16.1,15.7,15,1.34949
17,163.361,19.82,0.107992,17.0429,12.9,30.3,43.25,43.25,40.35,33.55,17.35,16.6,16.6,16.1,15.7,15,1.381
18,163.382,21.93,0.496365,11.9564,12.9,30.7,43.1,43.1,40.1,33.7,17.6,16.6,16.6,16.1,15.7,15,1.46927
19,163.403,21.88,0.191935,11.0398,13.1,30.9,42.85,42.9,39.75,33.6,17.85,16.6,16.6,16.1,15.7,15,1.44843
20,163.424,23.17,0.152809,10.8355,13.3,31.1,42.6,42.7,39.4,33.5,18.1,16.6,16.6,16.1,15.7,15,1.44266
21,163.445,24.95,0.326283,11.3252,13.15,30.4,43,43.2,39.4,33.45,18.35,16.65,16.6,16.1,15.7,15,1.51758
22,163.465,27.75,0.425468,10.5635,13,29.7,43.4,43.7,39.4,33.4,18.6,16.7,16.6,16.1,15.7,15,1.62656
23,163.486,28.27,0.221758,9.99923,13.15,29.9,43.1,43.35,39.35,33.3,18.8,16.75,16.6,16.1,15.7,15,1.70031
24,163.507,29.63,0.247008,10.7816,13.3,30.1,42.8,43,39.3,33.2,19,16.8,16.6,16.1,15.7,15,1.909
25,163.528,29.04,0.184115,8.99893,13.3,30.45,42.35,42.7,39.3,33.2,19.15,16.85,16.6,16.1,15.65,15,1.86535
26,163.549,29.93,0.194574,9.73415,13.3,30.8,41.9,42.4,39.3,33.2,19.3,16.9,16.6,16.1,15.6,15,2.22037
27,163.57,31.2,0.196704,9.54492,13.05,30.25,42.3,43.15,39.3,33.2,19.45,16.95,16.6,16.1,15.6,15,2.22984
28,163.59,30.83,0.111471,10.115,12.8,29.7,42.7,43.9,39.3,33.2,19.6,17,16.6,16.1,15.6,15,2.32476
29,163.611,31.14,0.194252,10.3892,12.8,29.5,42.4,43.75,39.3,33.2,19.65,17.05,16.6,16.1,15.6,15,2.43925
30,163.632,29.79,0.0258315,10.1161,12.8,29.3,42.1,43.6,39.3,33.2,19.7,17.1,16.6,16.1,15.6,15,2.40922
31,163.653,32.15,0.110541,9.29146,12.7,29.95,41.7,43.25,39.3,33.2,19.75,17.2,16.6,16.1,15.6,15,2.44756
32,163.674,29.91,0.0510408,8.87083,12.6,30.6,41.3,42.9,39.3,33.2,19.8,17.3,16.6,16.1,15.6,15,2.29441
